mode,alg,threads,sizeR,sizeS,throughput
native,RSM,6,6.4,88.0,42.59
native,RSM,6,6.4,96.0,48.07
native,RSM,6,6.4,104.0,55.21
native,RSM,6,6.4,112.0,53.65
native,RSM,6,6.4,120.0,41.38
native,RSM,6,6.4,128.0,48.56
native,CHT,2,16.0,8.0,29.51
native,CHT,2,16.0,16.0,47.65
native,CHT,2,16.0,24.0,65.97
native,CHT,2,16.0,32.0,64.72
native,CHT,2,16.0,40.0,53.61
native,CHT,2,16.0,48.0,77.41
native,CHT,2,16.0,56.0,73.93
native,CHT,2,16.0,64.0,61.71
native,CHT,2,16.0,72.0,68.13
native,CHT,2,16.0,80.0,61.23
native,CHT,2,16.0,88.0,65.89
native,CHT,2,16.0,96.0,61.81
native,CHT,2,16.0,104.0,70.5
native,CHT,2,16.0,112.0,67.79
native,CHT,2,16.0,120.0,72.39
native,CHT,2,16.0,128.0,59.57
native,PHT,1,16.0,8.0,8.9
native,PHT,1,16.0,16.0,11.59
native,PHT,1,16.0,24.0,20.03
native,PHT,1,16.0,32.0,23.41
native,PHT,1,16.0,40.0,22.41
native,PHT,1,16.0,48.0,27.11
native,PHT,1,16.0,56.0,28.38
native,PHT,1,16.0,64.0,30.54
native,PHT,1,16.0,72.0,32.91
native,PHT,1,16.0,80.0,33.15
native,PHT,1,16.0,88.0,34.35
native,PHT,1,16.0,96.0,35.11
native,PHT,1,16.0,104.0,31.54
native,PHT,1,16.0,112.0,36.85
native,PHT,1,16.0,120.0,38.2
native,PHT,1,16.0,128.0,39.33
native,RHO,3,16.0,8.0,159.9
native,RHO,3,16.0,16.0,181.45
native,RHO,3,16.0,24.0,195.06
native,RHO,3,16.0,32.0,195.88
native,RHO,3,16.0,40.0,171.52
native,RHO,3,16.0,48.0,170.9
native,RHO,3,16.0,56.0,202.64
native,RHO,3,16.0,64.0,204.67
native,RHO,3,16.0,72.0,194.25
native,RHO,3,16.0,80.0,200.54
native,RHO,3,16.0,88.0,194.09
native,RHO,3,16.0,96.0,210.65
native,RHO,3,16.0,104.0,199.62
native,RHO,3,16.0,112.0,211.85
native,RHO,3,16.0,120.0,213.05
native,RHO,3,16.0,128.0,192.79
native,RSM,6,16.0,8.0,67.74
native,RSM,6,16.0,16.0,62.41
native,RSM,6,16.0,24.0,59.96
native,RSM,6,16.0,32.0,60.78
native,RSM,6,16.0,40.0,57.6
native,RSM,6,16.0,48.0,56.1
native,RSM,6,16.0,56.0,55.45
native,RSM,6,16.0,64.0,60.68
native,RSM,6,16.0,72.0,48.34
native,RSM,6,16.0,80.0,53.87
native,RSM,6,16.0,88.0,54.35
native,RSM,6,16.0,96.0,54.38
native,RSM,6,16.0,104.0,52.92
native,RSM,6,16.0,112.0,51.11
native,RSM,6,16.0,120.0,53.46
native,RSM,6,16.0,128.0,55.34
native,CHT,2,100.0,8.0,93.64
native,CHT,2,100.0,16.0,95.75
native,CHT,2,100.0,24.0,94.47
native,CHT,2,100.0,32.0,91.63
native,CHT,2,100.0,40.0,90.09
native,CHT,2,100.0,48.0,89.87
native,CHT,2,100.0,56.0,74.73
native,CHT,2,100.0,64.0,82.58
native,CHT,2,100.0,72.0,84.73
native,CHT,2,100.0,80.0,80.89
native,CHT,2,100.0,88.0,60.75
native,CHT,2,100.0,96.0,75.67
native,CHT,2,100.0,104.0,75.99
native,CHT,2,100.0,112.0,73.59
native,CHT,2,100.0,120.0,66.92
native,CHT,2,100.0,128.0,67.95
native,PHT,1,100.0,8.0,7.06
native,PHT,1,100.0,16.0,8.88
native,PHT,1,100.0,24.0,9.88
native,PHT,1,100.0,32.0,9.73
native,PHT,1,100.0,40.0,10.24
native,PHT,1,100.0,48.0,11.04
native,PHT,1,100.0,56.0,11.87
native,PHT,1,100.0,64.0,11.59
native,PHT,1,100.0,72.0,12.8
native,PHT,1,100.0,80.0,12.57
native,PHT,1,100.0,88.0,13.64
native,PHT,1,100.0,96.0,12.69
native,PHT,1,100.0,104.0,14.43
native,PHT,1,100.0,112.0,14.1
native,PHT,1,100.0,120.0,15.31
native,PHT,1,100.0,128.0,14.81
native,RHO,3,100.0,8.0,217.16
native,RHO,3,100.0,16.0,193.66
native,RHO,3,100.0,24.0,174.18
native,RHO,3,100.0,32.0,120.67
native,RHO,3,100.0,40.0,215.61
native,RHO,3,100.0,48.0,176.57
native,RHO,3,100.0,56.0,190.16
native,RHO,3,100.0,64.0,179.0
native,RHO,3,100.0,72.0,185.24
native,RHO,3,100.0,80.0,208.94
native,RHO,3,100.0,88.0,212.79
native,RHO,3,100.0,96.0,216.67
native,RHO,3,100.0,104.0,210.66
native,RHO,3,100.0,112.0,175.18
native,RHO,3,100.0,120.0,166.83
native,RHO,3,100.0,128.0,222.37
native,RSM,6,100.0,8.0,54.34
native,RSM,6,100.0,16.0,47.76
native,RSM,6,100.0,24.0,49.98
native,RSM,6,100.0,32.0,51.13
native,RSM,6,100.0,40.0,48.43
native,RSM,6,100.0,48.0,41.23
native,RSM,6,100.0,56.0,36.67
native,RSM,6,100.0,64.0,45.66
native,RSM,6,100.0,72.0,45.41
native,RSM,6,100.0,80.0,49.02
native,RSM,6,100.0,88.0,49.18
native,RSM,6,100.0,96.0,47.69
native,RSM,6,100.0,104.0,37.92
native,RSM,6,100.0,112.0,48.83
native,RSM,6,100.0,120.0,45.69
native,RSM,6,100.0,128.0,48.33
