mode,alg,threads,sizeR,sizeS,throughput,ewb
sgx,RHO,2,96.0,0.2,17.02,1232.06
sgx,RHO,2,104.0,0.2,16.8,1251.68
sgx,RHO,2,112.0,0.2,16.31,1272.38
sgx,RHO,2,120.0,0.2,15.67,1299.85
sgx,RHO,2,128.0,0.2,14.96,1328.37
sgx,RSM,4,8.0,0.2,2.39,1125.77
sgx,RSM,4,16.0,0.2,4.85,1133.88
sgx,RSM,4,24.0,0.2,13.29,1141.8
sgx,RSM,4,32.0,0.2,13.33,1149.88
sgx,RSM,4,40.0,0.2,17.91,1157.84
sgx,RSM,4,48.0,0.2,16.86,1165.82
sgx,RSM,4,56.0,0.2,17.38,1173.83
sgx,RSM,4,64.0,0.2,17.02,1181.76
sgx,RSM,4,72.0,0.2,16.43,1189.82
sgx,RSM,4,80.0,0.2,16.93,1197.89
sgx,RSM,4,88.0,0.2,16.32,1205.91
sgx,RSM,4,96.0,0.2,15.62,1232.52
sgx,RSM,4,104.0,0.2,14.9,1252.24
sgx,RSM,4,112.0,0.2,14.29,1273.9
sgx,RSM,4,120.0,0.2,13.59,1302.85
sgx,RSM,4,128.0,0.2,12.94,1332.06
sgx,CHT,7,8.0,6.4,38.74,1132.01
sgx,CHT,7,16.0,6.4,32.27,1148.3
sgx,CHT,7,24.0,6.4,28.34,1164.97
sgx,CHT,7,32.0,6.4,26.69,1181.05
sgx,CHT,7,40.0,6.4,25.69,1198.2
sgx,CHT,7,48.0,6.4,21.12,1233.28
sgx,CHT,7,56.0,6.4,15.3,1289.88
sgx,CHT,7,64.0,6.4,14.04,1326.58
sgx,CHT,7,72.0,6.4,12.03,1374.11
sgx,CHT,7,80.0,6.4,11.4,1412.91
sgx,CHT,7,88.0,6.4,11.02,1453.13
sgx,CHT,7,96.0,6.4,10.89,1493.2
sgx,CHT,7,104.0,6.4,10.69,1534.68
sgx,CHT,7,112.0,6.4,10.47,1574.07
sgx,CHT,7,120.0,6.4,10.28,1612.36
sgx,CHT,7,128.0,6.4,10.23,1651.77
sgx,PHT,4,8.0,6.4,17.55,1127.36
sgx,PHT,4,16.0,6.4,11.8,1139.38
sgx,PHT,4,24.0,6.4,10.59,1163.41
sgx,PHT,4,32.0,6.4,10.03,1163.38
sgx,PHT,4,40.0,6.4,1.79,1956.06
sgx,PHT,4,48.0,6.4,1.56,2203.97
sgx,PHT,4,56.0,6.4,1.63,2302.21
sgx,PHT,4,64.0,6.4,1.52,2528.35
sgx,PHT,4,72.0,6.4,0.17,20339.47
sgx,PHT,4,80.0,6.4,0.17,22368.31
sgx,PHT,4,88.0,6.4,0.17,24642.6
sgx,PHT,4,96.0,6.4,0.17,27163.97
sgx,PHT,4,104.0,6.4,0.16,29037.4
sgx,PHT,4,112.0,6.4,0.14,31119.54
sgx,PHT,4,120.0,6.4,0.14,33349.0
sgx,PHT,4,128.0,6.4,0.14,35767.43
sgx,RHO,2,8.0,6.4,15.24,1131.93
sgx,RHO,2,16.0,6.4,18.63,1139.88
sgx,RHO,2,24.0,6.4,18.37,1147.95
sgx,RHO,2,32.0,6.4,19.14,1155.9
sgx,RHO,2,40.0,6.4,18.55,1163.98
sgx,RHO,2,48.0,6.4,18.45,1171.98
sgx,RHO,2,56.0,6.4,18.73,1179.97
sgx,RHO,2,64.0,6.4,19.16,1187.99
sgx,RHO,2,72.0,6.4,17.98,1195.97
sgx,RHO,2,80.0,6.4,17.95,1204.05
sgx,RHO,2,88.0,6.4,17.6,1226.0
sgx,RHO,2,96.0,6.4,16.84,1247.56
sgx,RHO,2,104.0,6.4,16.5,1267.25
sgx,RHO,2,112.0,6.4,15.95,1293.01
sgx,RHO,2,120.0,6.4,15.25,1321.97
sgx,RHO,2,128.0,6.4,14.75,1345.9
sgx,RSM,4,8.0,6.4,4.23,1132.01
sgx,RSM,4,16.0,6.4,11.72,1139.91
sgx,RSM,4,24.0,6.4,12.86,1147.97
sgx,RSM,4,32.0,6.4,15.16,1156.01
sgx,RSM,4,40.0,6.4,17.32,1164.02
sgx,RSM,4,48.0,6.4,17.26,1172.02
sgx,RSM,4,56.0,6.4,17.07,1179.99
sgx,RSM,4,64.0,6.4,17.09,1188.06
sgx,RSM,4,72.0,6.4,17.12,1196.01
sgx,RSM,4,80.0,6.4,16.38,1204.05
sgx,RSM,4,88.0,6.4,15.85,1226.07
sgx,RSM,4,96.0,6.4,15.27,1248.12
sgx,RSM,4,104.0,6.4,14.54,1268.38
sgx,RSM,4,112.0,6.4,13.69,1295.89
sgx,RSM,4,120.0,6.4,13.21,1325.09
sgx,RSM,4,128.0,6.4,12.79,1346.2
sgx,CHT,7,8.0,16.0,44.7,1131.89
sgx,CHT,7,16.0,16.0,25.9,1148.36
sgx,CHT,7,24.0,16.0,24.52,1164.99
sgx,CHT,7,32.0,16.0,24.15,1181.01
sgx,CHT,7,40.0,16.0,23.13,1198.26
sgx,CHT,7,48.0,16.0,19.87,1238.05
sgx,CHT,7,56.0,16.0,15.1,1294.76
sgx,CHT,7,64.0,16.0,13.88,1332.68
sgx,CHT,7,72.0,16.0,12.12,1384.03
sgx,CHT,7,80.0,16.0,11.48,1422.78
sgx,CHT,7,88.0,16.0,11.03,1462.95
sgx,CHT,7,96.0,16.0,10.71,1503.19
sgx,CHT,7,104.0,16.0,10.69,1544.55
sgx,CHT,7,112.0,16.0,10.5,1583.99
sgx,CHT,7,120.0,16.0,10.41,1622.3
sgx,CHT,7,128.0,16.0,10.33,1661.76
sgx,PHT,4,8.0,16.0,21.14,1127.45
sgx,PHT,4,16.0,16.0,13.32,1139.42
sgx,PHT,4,24.0,16.0,11.68,1163.4
sgx,PHT,4,32.0,16.0,10.71,1163.41
sgx,PHT,4,40.0,16.0,1.75,2292.51
sgx,PHT,4,48.0,16.0,1.65,2537.04
sgx,PHT,4,56.0,16.0,1.71,2636.43
sgx,PHT,4,64.0,16.0,1.63,2860.43
sgx,PHT,4,72.0,16.0,0.2,20704.31
sgx,PHT,4,80.0,16.0,0.19,22730.71
sgx,PHT,4,88.0,16.0,0.19,25014.4
sgx,PHT,4,96.0,16.0,0.18,27527.58
sgx,PHT,4,104.0,16.0,0.18,29415.53
sgx,PHT,4,112.0,16.0,0.16,31484.43
sgx,PHT,4,120.0,16.0,0.15,33709.87
sgx,PHT,4,128.0,16.0,0.15,36141.58
sgx,RHO,2,8.0,16.0,20.41,1141.51
sgx,RHO,2,16.0,16.0,20.42,1149.52
sgx,RHO,2,24.0,16.0,19.71,1157.53
sgx,RHO,2,32.0,16.0,19.48,1165.53
sgx,RHO,2,40.0,16.0,18.66,1173.62
sgx,RHO,2,48.0,16.0,18.91,1181.57
sgx,RHO,2,56.0,16.0,19.01,1189.59
sgx,RHO,2,64.0,16.0,19.11,1197.57
sgx,RHO,2,72.0,16.0,18.31,1205.68
sgx,RHO,2,80.0,16.0,17.13,1230.98
sgx,RHO,2,88.0,16.0,17.02,1250.77
sgx,RHO,2,96.0,16.0,16.55,1271.78
sgx,RHO,2,104.0,16.0,15.7,1299.14
sgx,RHO,2,112.0,16.0,15.12,1327.62
sgx,RHO,2,120.0,16.0,14.72,1349.51
sgx,RHO,2,128.0,16.0,14.89,1367.12
sgx,RSM,4,8.0,16.0,11.4,1141.61
sgx,RSM,4,16.0,16.0,13.78,1149.52
sgx,RSM,4,24.0,16.0,17.82,1157.59
sgx,RSM,4,32.0,16.0,16.88,1165.61
sgx,RSM,4,40.0,16.0,17.16,1173.63
sgx,RSM,4,48.0,16.0,17.63,1181.65
sgx,RSM,4,56.0,16.0,17.03,1189.62
sgx,RSM,4,64.0,16.0,16.73,1197.62
sgx,RSM,4,72.0,16.0,16.66,1205.68
sgx,RSM,4,80.0,16.0,15.89,1231.06
sgx,RSM,4,88.0,16.0,15.35,1250.72
sgx,RSM,4,96.0,16.0,14.38,1272.64
sgx,RSM,4,104.0,16.0,13.62,1302.2
sgx,RSM,4,112.0,16.0,13.14,1331.23
sgx,RSM,4,120.0,16.0,12.84,1349.65
sgx,RSM,4,128.0,16.0,12.54,1367.72
sgx,CHT,7,8.0,100.0,64.22,1132.0
sgx,CHT,7,16.0,100.0,26.54,1148.3
sgx,CHT,7,24.0,100.0,23.16,1164.87
sgx,CHT,7,32.0,100.0,22.0,1181.09
sgx,CHT,7,40.0,100.0,21.32,1198.17
sgx,CHT,7,48.0,100.0,19.29,1242.79
sgx,CHT,7,56.0,100.0,16.59,1298.93
sgx,CHT,7,64.0,100.0,15.68,1336.86
sgx,CHT,7,72.0,100.0,13.61,1405.21
sgx,CHT,7,80.0,100.0,12.65,1456.82
sgx,CHT,7,88.0,100.0,12.07,1508.11
sgx,CHT,7,96.0,100.0,1.37,5037.74
sgx,CHT,7,104.0,100.0,0.97,7192.3
sgx,CHT,7,112.0,100.0,1.0,7237.13
sgx,CHT,7,120.0,100.0,1.04,7282.76
sgx,CHT,7,128.0,100.0,1.15,7326.23
sgx,PHT,4,8.0,100.0,24.93,1127.42
sgx,PHT,4,16.0,100.0,16.11,1139.32
sgx,PHT,4,24.0,100.0,14.12,1163.38
sgx,PHT,4,32.0,100.0,13.36,1163.43
sgx,PHT,4,40.0,100.0,1.52,3752.69
sgx,PHT,4,48.0,100.0,1.41,4151.43
sgx,PHT,4,56.0,100.0,1.44,4215.66
sgx,PHT,4,64.0,100.0,1.38,4523.03
sgx,PHT,4,72.0,100.0,0.14,46614.81
sgx,PHT,4,80.0,100.0,0.14,47671.79
sgx,PHT,4,88.0,100.0,0.14,49968.28
sgx,PHT,4,96.0,100.0,0.14,52999.81
sgx,PHT,4,104.0,100.0,0.14,55778.25
sgx,PHT,4,112.0,100.0,0.14,57852.24
sgx,PHT,4,120.0,100.0,0.14,60067.15
sgx,PHT,4,128.0,100.0,0.14,62497.57
sgx,RHO,2,8.0,100.0,19.09,1260.89
sgx,RHO,2,16.0,100.0,18.06,1284.36
sgx,RHO,2,24.0,100.0,16.77,1313.51
sgx,RHO,2,32.0,100.0,15.97,1340.75
sgx,RHO,2,40.0,100.0,15.57,1358.51
sgx,RHO,2,48.0,100.0,15.51,1376.21
sgx,RHO,2,56.0,100.0,15.43,1393.99
sgx,RHO,2,64.0,100.0,15.25,1411.86
sgx,RHO,2,72.0,100.0,14.59,1429.7
sgx,RHO,2,80.0,100.0,14.78,1447.66
sgx,RHO,2,88.0,100.0,14.58,1465.76
sgx,RHO,2,96.0,100.0,13.7,1484.18
sgx,RHO,2,104.0,100.0,17.3,1502.3
sgx,RHO,2,112.0,100.0,17.16,1520.37
sgx,RHO,2,120.0,100.0,16.89,1538.6
sgx,RHO,2,128.0,100.0,17.15,1555.59
sgx,RSM,4,8.0,100.0,19.76,1261.91
sgx,RSM,4,16.0,100.0,17.74,1286.83
sgx,RSM,4,24.0,100.0,16.55,1316.84
sgx,RSM,4,32.0,100.0,15.68,1341.39
sgx,RSM,4,40.0,100.0,15.45,1359.35
sgx,RSM,4,48.0,100.0,15.29,1377.32
sgx,RSM,4,56.0,100.0,15.04,1395.26
sgx,RSM,4,64.0,100.0,15.0,1413.32
sgx,RSM,4,72.0,100.0,14.67,1431.3
sgx,RSM,4,80.0,100.0,14.73,1449.45
sgx,RSM,4,88.0,100.0,14.53,1467.57
sgx,RSM,4,96.0,100.0,14.45,1486.87
sgx,RSM,4,104.0,100.0,14.4,1505.68
sgx,RSM,4,112.0,100.0,14.17,1524.01
sgx,RSM,4,120.0,100.0,14.07,1541.55
sgx,RSM,4,128.0,100.0,14.16,1557.83
sgx,PSM,3,8.0,0.2,4.09,4015.08
sgx,PSM,3,24.0,0.2,3.86,4015.22
sgx,PSM,3,40.0,0.2,3.61,4015.18
sgx,PSM,3,56.0,0.2,3.46,4015.21
sgx,PSM,3,72.0,0.2,3.34,4015.18
sgx,PSM,3,88.0,0.2,3.41,4015.18
sgx,PSM,3,104.0,0.2,3.29,4015.19
sgx,PSM,3,120.0,0.2,3.14,4015.27
sgx,PSM,3,136.0,0.2,3.3,4015.24
sgx,PSM,3,152.0,0.2,3.25,4015.15
sgx,PSM,3,168.0,0.2,3.24,4015.21
sgx,PSM,3,184.0,0.2,3.21,4015.27
sgx,PSM,3,200.0,0.2,3.14,4015.24
sgx,PSM,3,216.0,0.2,3.21,4015.22
sgx,PSM,3,232.0,0.2,3.2,4015.24
sgx,PSM,3,248.0,0.2,3.23,4015.24
sgx,RHT,3,8.0,0.2,5.86,4028.1
sgx,RHT,3,24.0,0.2,15.24,4044.07
sgx,RHT,3,40.0,0.2,17.46,4060.06
sgx,RHT,3,56.0,0.2,17.96,4076.04
sgx,RHT,3,72.0,0.2,18.18,4092.03
sgx,RHT,3,88.0,0.2,16.35,4121.68
sgx,RHT,3,104.0,0.2,13.12,4210.06
sgx,RHT,3,120.0,0.2,12.48,4261.11
sgx,RHT,3,136.0,0.2,11.9,4303.59
sgx,RHT,3,152.0,0.2,11.37,4362.48
sgx,RHT,3,168.0,0.2,11.08,4411.32
sgx,RHT,3,184.0,0.2,14.36,4463.58
sgx,RHT,3,200.0,0.2,14.18,4512.8
sgx,RHT,3,216.0,0.2,13.73,4562.06
sgx,RHT,3,232.0,0.2,13.14,4611.94
sgx,RHT,3,248.0,0.2,13.66,4662.42
sgx,PSM,3,8.0,6.4,5.09,-1
sgx,PSM,3,24.0,6.4,3.65,-1
sgx,PSM,3,40.0,6.4,3.45,-1
sgx,PSM,3,56.0,6.4,3.33,-1
sgx,PSM,3,72.0,6.4,3.22,-1
sgx,PSM,3,88.0,6.4,3.27,-1
sgx,PSM,3,104.0,6.4,3.08,-1
sgx,PSM,3,120.0,6.4,3.04,-1
sgx,PSM,3,136.0,6.4,3.16,-1
sgx,PSM,3,152.0,6.4,3.12,-1
sgx,PSM,3,168.0,6.4,3.1,-1
sgx,PSM,3,184.0,6.4,3.09,-1
sgx,PSM,3,200.0,6.4,4.37,-1
sgx,PSM,3,216.0,6.4,4.42,-1
sgx,PSM,3,232.0,6.4,4.35,-1
sgx,PSM,3,248.0,6.4,4.42,-1
sgx,RHT,3,8.0,6.4,7.27,-1
sgx,RHT,3,24.0,6.4,20.34,-1
sgx,RHT,3,40.0,6.4,19.98,-1
sgx,RHT,3,56.0,6.4,18.71,-1
sgx,RHT,3,72.0,6.4,18.33,-1
sgx,RHT,3,88.0,6.4,14.59,-1
sgx,RHT,3,104.0,6.4,12.95,-1
sgx,RHT,3,120.0,6.4,12.36,-1
sgx,RHT,3,136.0,6.4,11.96,-1
sgx,RHT,3,152.0,6.4,15.14,-1
sgx,RHT,3,168.0,6.4,14.53,-1
sgx,RHT,3,184.0,6.4,14.38,-1
sgx,RHT,3,200.0,6.4,14.16,-1
sgx,RHT,3,216.0,6.4,14.03,-1
sgx,RHT,3,232.0,6.4,13.88,-1
sgx,RHT,3,248.0,6.4,13.8,-1
sgx,PSM,3,8.0,16.0,5.53,-1
sgx,PSM,3,24.0,16.0,5.04,-1
sgx,PSM,3,40.0,16.0,4.89,-1
sgx,PSM,3,56.0,16.0,4.62,-1
sgx,PSM,3,72.0,16.0,3.18,-1
sgx,PSM,3,88.0,16.0,3.24,-1
sgx,PSM,3,104.0,16.0,3.16,-1
sgx,PSM,3,120.0,16.0,3.04,-1
sgx,PSM,3,136.0,16.0,3.17,-1
sgx,PSM,3,152.0,16.0,3.12,-1
sgx,PSM,3,168.0,16.0,3.1,-1
sgx,PSM,3,184.0,16.0,3.08,-1
sgx,PSM,3,200.0,16.0,3.01,-1
sgx,PSM,3,216.0,16.0,3.09,-1
sgx,PSM,3,232.0,16.0,3.08,-1
sgx,PSM,3,248.0,16.0,3.1,-1
sgx,RHT,3,8.0,16.0,14.78,-1
sgx,RHT,3,24.0,16.0,18.14,-1
sgx,RHT,3,40.0,16.0,18.28,-1
sgx,RHT,3,56.0,16.0,18.33,-1
sgx,RHT,3,72.0,16.0,17.04,-1
sgx,RHT,3,88.0,16.0,13.65,-1
sgx,RHT,3,104.0,16.0,12.84,-1
sgx,RHT,3,120.0,16.0,12.42,-1
sgx,RHT,3,136.0,16.0,11.78,-1
sgx,RHT,3,152.0,16.0,11.36,-1
sgx,RHT,3,168.0,16.0,11.1,-1
sgx,RHT,3,184.0,16.0,10.94,-1
sgx,RHT,3,200.0,16.0,10.71,-1
sgx,RHT,3,216.0,16.0,10.7,-1
sgx,RHT,3,232.0,16.0,10.61,-1
sgx,RHT,3,248.0,16.0,10.38,-1
sgx,PSM,3,8.0,100.0,4.94,-1
sgx,PSM,3,24.0,100.0,4.23,-1
sgx,PSM,3,40.0,100.0,3.7,-1
sgx,PSM,3,56.0,100.0,3.45,-1
sgx,PSM,3,72.0,100.0,3.32,-1
sgx,PSM,3,88.0,100.0,3.28,-1
sgx,PSM,3,104.0,100.0,3.17,-1
sgx,PSM,3,120.0,100.0,3.1,-1
sgx,PSM,3,136.0,100.0,3.17,-1
sgx,PSM,3,152.0,100.0,3.14,-1
sgx,PSM,3,168.0,100.0,3.13,-1
sgx,PSM,3,184.0,100.0,3.11,-1
sgx,PSM,3,200.0,100.0,3.07,-1
sgx,PSM,3,216.0,100.0,3.12,-1
sgx,PSM,3,232.0,100.0,3.12,-1
sgx,PSM,3,248.0,100.0,4.41,-1
sgx,RHT,3,8.0,100.0,20.23,-1
sgx,RHT,3,24.0,100.0,19.08,-1
sgx,RHT,3,40.0,100.0,17.89,-1
sgx,RHT,3,56.0,100.0,16.84,-1
sgx,RHT,3,72.0,100.0,16.38,-1
sgx,RHT,3,88.0,100.0,14.63,-1
sgx,RHT,3,104.0,100.0,15.69,-1
sgx,RHT,3,120.0,100.0,11.25,-1
sgx,RHT,3,136.0,100.0,11.37,-1
sgx,RHT,3,152.0,100.0,11.22,-1
sgx,RHT,3,168.0,100.0,11.02,-1
sgx,RHT,3,184.0,100.0,10.99,-1
sgx,RHT,3,200.0,100.0,10.92,-1
sgx,RHT,3,216.0,100.0,10.76,-1
sgx,RHT,3,232.0,100.0,10.73,-1
sgx,RHT,3,248.0,100.0,10.63,-1
sgx,CHT,3,144.0,0.2,11.73,-1
sgx,CHT,3,160.0,0.2,9.74,-1
sgx,CHT,3,176.0,0.2,9.55,-1
sgx,CHT,3,192.0,0.2,9.63,-1
sgx,CHT,3,208.0,0.2,9.57,-1
sgx,CHT,3,224.0,0.2,9.59,-1
sgx,CHT,3,240.0,0.2,9.61,-1
sgx,CHT,3,256.0,0.2,9.59,-1
sgx,CHT,3,144.0,6.4,9.94,-1
sgx,CHT,3,160.0,6.4,9.86,-1
sgx,CHT,3,176.0,6.4,9.9,-1
sgx,CHT,3,192.0,6.4,9.91,-1
sgx,CHT,3,208.0,6.4,9.88,-1
sgx,CHT,3,224.0,6.4,9.75,-1
sgx,CHT,3,240.0,6.4,9.75,-1
sgx,CHT,3,256.0,6.4,9.71,-1
sgx,CHT,3,144.0,16.0,10.2,-1
sgx,CHT,3,160.0,16.0,10.05,-1
sgx,CHT,3,176.0,16.0,10.07,-1
sgx,CHT,3,192.0,16.0,9.96,-1
sgx,CHT,3,208.0,16.0,9.81,-1
sgx,CHT,3,224.0,16.0,9.96,-1
sgx,CHT,3,240.0,16.0,9.86,-1
sgx,CHT,3,256.0,16.0,9.88,-1
sgx,CHT,3,144.0,100.0,1.09,-1
sgx,CHT,3,160.0,100.0,1.09,-1
sgx,CHT,3,176.0,100.0,1.16,-1
sgx,CHT,3,192.0,100.0,1.21,-1
sgx,CHT,3,208.0,100.0,1.28,-1
sgx,CHT,3,224.0,100.0,1.33,-1
sgx,CHT,3,240.0,100.0,1.38,-1
sgx,CHT,3,256.0,100.0,1.44,-1
