mode,alg,ds,threads,throughput
sgx-affinity,PHT,cache-fit,2,14.45
sgx-affinity,PHT,cache-fit,3,16.73
sgx-affinity,PHT,cache-fit,4,17.12
sgx-affinity,PHT,cache-fit,5,15.61
sgx-affinity,PHT,cache-fit,6,16.66
sgx-affinity,PHT,cache-fit,7,17.0
sgx-affinity,PHT,cache-fit,8,17.09
sgx-affinity,PHT,cache-exceed,1,0.14
sgx-affinity,PHT,cache-exceed,2,0.18
sgx-affinity,PHT,cache-exceed,3,0.16
sgx-affinity,PHT,cache-exceed,4,0.14
sgx-affinity,PHT,cache-exceed,5,0.14
sgx-affinity,PHT,cache-exceed,6,0.14
sgx-affinity,PHT,cache-exceed,7,0.14
sgx-affinity,PHT,cache-exceed,8,0.12
native,MWAY,cache-fit,1,17.27
native,MWAY,cache-fit,2,22.81
native,MWAY,cache-fit,4,37.18
native,MWAY,cache-fit,8,56.37
native,MWAY,cache-exceed,1,13.58
native,MWAY,cache-exceed,2,18.74
native,MWAY,cache-exceed,4,25.53
native,MWAY,cache-exceed,8,55.43
sgx,MWAY,cache-fit,1,5.86
sgx,MWAY,cache-fit,2,6.81
sgx,MWAY,cache-fit,4,9.43
sgx,MWAY,cache-fit,8,10.64
sgx,MWAY,cache-exceed,1,4.08
sgx,MWAY,cache-exceed,2,4.62
sgx,MWAY,cache-exceed,4,5.78
sgx,MWAY,cache-exceed,8,4.94
sgx-affinity,MWAY,cache-fit,1,0
sgx-affinity,MWAY,cache-fit,2,0
sgx-affinity,MWAY,cache-fit,4,0
sgx-affinity,MWAY,cache-fit,8,0
sgx-affinity,MWAY,cache-exceed,1,0
sgx-affinity,MWAY,cache-exceed,2,0
sgx-affinity,MWAY,cache-exceed,4,0
sgx-affinity,MWAY,cache-exceed,8,0
native,INL,cache-fit,1,15.03
native,INL,cache-fit,2,30.55
native,INL,cache-fit,3,43.24
native,INL,cache-fit,4,50.71
native,INL,cache-fit,5,56.59
native,INL,cache-fit,6,64.06
native,INL,cache-fit,7,71.30
native,INL,cache-fit,8,73.91
native,INL,cache-exceed,1,10.54
native,INL,cache-exceed,2,17.84
native,INL,cache-exceed,3,24.03
native,INL,cache-exceed,4,31.93
native,INL,cache-exceed,5,34.81
native,INL,cache-exceed,6,35.37
native,INL,cache-exceed,7,40.85
native,INL,cache-exceed,8,43.63
sgx,INL,cache-fit,1,4.00
sgx,INL,cache-fit,2,7.26
sgx,INL,cache-fit,3,10.37
sgx,INL,cache-fit,4,14.05
sgx,INL,cache-fit,5,13.64
sgx,INL,cache-fit,6,16.82
sgx,INL,cache-fit,7,21.12
sgx,INL,cache-fit,8,22.74
sgx,INL,cache-exceed,1,0.12
sgx,INL,cache-exceed,2,0.13
sgx,INL,cache-exceed,3,0.15
sgx,INL,cache-exceed,4,0.19
sgx,INL,cache-exceed,5,0.22
sgx,INL,cache-exceed,6,0.22
sgx,INL,cache-exceed,7,0.25
sgx,INL,cache-exceed,8,0.25
sgx-affinity,INL,cache-fit,1,0
sgx-affinity,INL,cache-fit,2,0
sgx-affinity,INL,cache-fit,3,0
sgx-affinity,INL,cache-fit,4,0
sgx-affinity,INL,cache-fit,5,0
sgx-affinity,INL,cache-fit,6,0
sgx-affinity,INL,cache-fit,7,0
sgx-affinity,INL,cache-fit,8,0
sgx-affinity,INL,cache-exceed,1,0
sgx-affinity,INL,cache-exceed,2,0
sgx-affinity,INL,cache-exceed,3,0
sgx-affinity,INL,cache-exceed,4,0
sgx-affinity,INL,cache-exceed,5,0
sgx-affinity,INL,cache-exceed,6,0
sgx-affinity,INL,cache-exceed,7,0
sgx-affinity,INL,cache-exceed,8,0
