mode,alg,ds,threads,throughput
sgx-affinity,RHT,cache-fit,2,18.97
sgx-affinity,RHT,cache-fit,3,22.41
sgx-affinity,RHT,cache-fit,4,20.96
sgx-affinity,RHT,cache-fit,5,12.3
sgx-affinity,RHT,cache-fit,6,9.56
sgx-affinity,RHT,cache-fit,7,7.0
sgx-affinity,RHT,cache-fit,8,5.56
sgx-affinity,RHT,cache-exceed,1,9.78
sgx-affinity,RHT,cache-exceed,2,14.58
sgx-affinity,RHT,cache-exceed,3,16.72
sgx-affinity,RHT,cache-exceed,4,16.69
sgx-affinity,RHT,cache-exceed,5,16.34
sgx-affinity,RHT,cache-exceed,6,16.21
sgx-affinity,RHT,cache-exceed,7,15.99
sgx-affinity,RHT,cache-exceed,8,15.78
sgx,RHO,cache-fit,1,15.11
sgx,RHO,cache-fit,2,21.94
sgx,RHO,cache-fit,3,15.52
sgx,RHO,cache-fit,4,13.82
sgx,RHO,cache-fit,5,12.19
sgx,RHO,cache-fit,6,7.77
sgx,RHO,cache-fit,7,7.1
sgx,RHO,cache-fit,8,6.26
sgx,RHO,cache-exceed,1,11.54
sgx,RHO,cache-exceed,2,16.73
sgx,RHO,cache-exceed,3,19.05
sgx,RHO,cache-exceed,4,18.78
sgx,RHO,cache-exceed,5,18.32
sgx,RHO,cache-exceed,6,17.97
sgx,RHO,cache-exceed,7,17.58
sgx,RHO,cache-exceed,8,16.39
sgx-affinity,RHO,cache-fit,1,15.1
sgx-affinity,RHO,cache-fit,2,22.02
sgx-affinity,RHO,cache-fit,3,17.5
sgx-affinity,RHO,cache-fit,4,12.31
sgx-affinity,RHO,cache-fit,5,10.73
sgx-affinity,RHO,cache-fit,6,7.84
sgx-affinity,RHO,cache-fit,7,6.25
sgx-affinity,RHO,cache-fit,8,5.04
sgx-affinity,RHO,cache-exceed,1,11.53
sgx-affinity,RHO,cache-exceed,2,16.86
sgx-affinity,RHO,cache-exceed,3,19.01
sgx-affinity,RHO,cache-exceed,4,18.8
sgx-affinity,RHO,cache-exceed,5,18.2
sgx-affinity,RHO,cache-exceed,6,17.92
sgx-affinity,RHO,cache-exceed,7,17.58
sgx-affinity,RHO,cache-exceed,8,17.21
sgx,RSM,cache-fit,1,8.8
sgx,RSM,cache-fit,2,14.19
sgx,RSM,cache-fit,3,17.21
sgx,RSM,cache-fit,4,17.34
sgx,RSM,cache-fit,5,14.94
sgx,RSM,cache-fit,6,12.46
sgx,RSM,cache-fit,7,11.0
sgx,RSM,cache-fit,8,7.88
sgx,RSM,cache-exceed,1,6.22
sgx,RSM,cache-exceed,2,10.16
sgx,RSM,cache-exceed,3,12.3
sgx,RSM,cache-exceed,4,12.94
sgx,RSM,cache-exceed,5,13.17
sgx,RSM,cache-exceed,6,13.31
sgx,RSM,cache-exceed,7,13.44
sgx,RSM,cache-exceed,8,12.83
sgx-affinity,RSM,cache-fit,1,8.62
sgx-affinity,RSM,cache-fit,2,14.15
sgx-affinity,RSM,cache-fit,3,17.57
sgx-affinity,RSM,cache-fit,4,17.95
sgx-affinity,RSM,cache-fit,5,15.55
sgx-affinity,RSM,cache-fit,6,11.96
sgx-affinity,RSM,cache-fit,7,9.9
sgx-affinity,RSM,cache-fit,8,7.15
sgx-affinity,RSM,cache-exceed,1,6.14
sgx-affinity,RSM,cache-exceed,2,10.16
sgx-affinity,RSM,cache-exceed,3,12.28
sgx-affinity,RSM,cache-exceed,4,12.98
sgx-affinity,RSM,cache-exceed,5,13.11
sgx-affinity,RSM,cache-exceed,6,13.29
sgx-affinity,RSM,cache-exceed,7,13.41
sgx-affinity,RSM,cache-exceed,8,13.42
