mode,alg,threads,sizeR,sizeS,throughput,ewb
sgx,CHT,4,104.0,6.4,13.32,1532.73
sgx,CHT,4,112.0,6.4,13.18,1572.04
sgx,CHT,4,120.0,6.4,13.08,1610.27
sgx,CHT,4,128.0,6.4,13.05,1649.19
sgx,PHT,4,8.0,6.4,17.67,1127.43
sgx,PHT,4,16.0,6.4,11.88,1139.46
sgx,PHT,4,24.0,6.4,10.44,1163.38
sgx,PHT,4,32.0,6.4,10.06,1163.45
sgx,PHT,4,40.0,6.4,2.08,1952.92
sgx,PHT,4,48.0,6.4,1.84,2203.64
sgx,PHT,4,56.0,6.4,1.89,2300.57
sgx,PHT,4,64.0,6.4,1.79,2526.4
sgx,PHT,4,72.0,6.4,0.18,20338.87
sgx,PHT,4,80.0,6.4,0.18,22363.48
sgx,PHT,4,88.0,6.4,0.18,24645.56
sgx,PHT,4,96.0,6.4,0.17,27164.17
sgx,PHT,4,104.0,6.4,0.17,29047.2
sgx,PHT,4,112.0,6.4,0.16,31122.2
sgx,PHT,4,120.0,6.4,0.15,33345.49
sgx,PHT,4,128.0,6.4,0.14,35766.59
sgx,RHO,4,8.0,6.4,3.74,1131.92
sgx,RHO,4,16.0,6.4,5.74,1140.03
sgx,RHO,4,24.0,6.4,8.14,1148.02
sgx,RHO,4,32.0,6.4,13.74,1155.97
sgx,RHO,4,40.0,6.4,13.1,1164.05
sgx,RHO,4,48.0,6.4,15.69,1172.04
sgx,RHO,4,56.0,6.4,18.7,1180.06
sgx,RHO,4,64.0,6.4,20.67,1187.98
sgx,RHO,4,72.0,6.4,23.48,1196.01
sgx,RHO,4,80.0,6.4,23.29,1204.08
sgx,RHO,4,88.0,6.4,22.47,1226.28
sgx,RHO,4,96.0,6.4,21.07,1248.17
sgx,RHO,4,104.0,6.4,20.55,1268.51
sgx,RHO,4,112.0,6.4,19.33,1296.16
sgx,RHO,4,120.0,6.4,18.14,1325.38
sgx,RHO,4,128.0,6.4,17.73,1346.21
sgx,SMJ,4,8.0,6.4,3.9,1132.02
sgx,SMJ,4,16.0,6.4,8.81,1139.97
sgx,SMJ,4,24.0,6.4,12.08,1148.01
sgx,SMJ,4,32.0,6.4,15.19,1155.95
sgx,SMJ,4,40.0,6.4,16.66,1164.01
sgx,SMJ,4,48.0,6.4,17.34,1171.99
sgx,SMJ,4,56.0,6.4,16.89,1179.97
sgx,SMJ,4,64.0,6.4,16.9,1188.0
sgx,SMJ,4,72.0,6.4,16.82,1196.0
sgx,SMJ,4,80.0,6.4,16.42,1204.04
sgx,SMJ,4,88.0,6.4,15.64,1226.18
sgx,SMJ,4,96.0,6.4,14.78,1248.01
sgx,SMJ,4,104.0,6.4,14.39,1268.43
sgx,SMJ,4,112.0,6.4,13.67,1296.02
sgx,SMJ,4,120.0,6.4,12.83,1325.28
sgx,SMJ,4,128.0,6.4,12.63,1346.18
sgx,CHT,4,8.0,16.0,35.32,1131.77
sgx,CHT,4,16.0,16.0,22.04,1148.11
sgx,CHT,4,24.0,16.0,21.15,1164.62
sgx,CHT,4,32.0,16.0,20.55,1180.7
sgx,CHT,4,40.0,16.0,20.58,1197.83
sgx,CHT,4,48.0,16.0,17.55,1236.79
sgx,CHT,4,56.0,16.0,14.2,1295.07
sgx,CHT,4,64.0,16.0,13.67,1330.8
sgx,CHT,4,72.0,16.0,12.06,1383.31
sgx,CHT,4,80.0,16.0,11.55,1422.26
sgx,CHT,4,88.0,16.0,11.16,1461.58
sgx,CHT,4,96.0,16.0,10.89,1501.62
sgx,CHT,4,104.0,16.0,10.8,1542.6
sgx,CHT,4,112.0,16.0,10.7,1581.92
sgx,CHT,4,120.0,16.0,10.69,1620.16
sgx,CHT,4,128.0,16.0,10.52,1658.9
sgx,PHT,4,8.0,16.0,20.25,1127.41
sgx,PHT,4,16.0,16.0,13.1,1139.48
sgx,PHT,4,24.0,16.0,11.65,1163.38
sgx,PHT,4,32.0,16.0,10.88,1163.41
sgx,PHT,4,40.0,16.0,1.5,2287.26
sgx,PHT,4,48.0,16.0,1.39,2536.42
sgx,PHT,4,56.0,16.0,1.46,2636.08
sgx,PHT,4,64.0,16.0,1.4,2860.05
sgx,PHT,4,72.0,16.0,0.17,20709.02
sgx,PHT,4,80.0,16.0,0.17,22734.29
sgx,PHT,4,88.0,16.0,0.16,25013.44
sgx,PHT,4,96.0,16.0,0.16,27540.37
sgx,PHT,4,104.0,16.0,0.16,29416.45
sgx,PHT,4,112.0,16.0,0.15,31482.73
sgx,PHT,4,120.0,16.0,0.15,33707.39
sgx,PHT,4,128.0,16.0,0.15,36134.27
sgx,RHO,4,8.0,16.0,6.61,1141.63
sgx,RHO,4,16.0,16.0,11.37,1149.53
sgx,RHO,4,24.0,16.0,11.37,1157.61
sgx,RHO,4,32.0,16.0,13.68,1165.6
sgx,RHO,4,40.0,16.0,15.75,1173.66
sgx,RHO,4,48.0,16.0,19.37,1181.67
sgx,RHO,4,56.0,16.0,21.44,1189.63
sgx,RHO,4,64.0,16.0,21.51,1197.62
sgx,RHO,4,72.0,16.0,23.57,1205.75
sgx,RHO,4,80.0,16.0,21.75,1231.05
sgx,RHO,4,88.0,16.0,21.07,1250.89
sgx,RHO,4,96.0,16.0,19.86,1273.29
sgx,RHO,4,104.0,16.0,18.53,1302.2
sgx,RHO,4,112.0,16.0,17.86,1330.97
sgx,RHO,4,120.0,16.0,17.28,1349.84
sgx,RHO,4,128.0,16.0,17.22,1367.81
sgx,SMJ,4,8.0,16.0,12.82,1141.63
sgx,SMJ,4,16.0,16.0,15.11,1149.59
sgx,SMJ,4,24.0,16.0,16.22,1157.57
sgx,SMJ,4,32.0,16.0,16.7,1165.65
sgx,SMJ,4,40.0,16.0,16.44,1173.61
sgx,SMJ,4,48.0,16.0,16.62,1181.61
sgx,SMJ,4,56.0,16.0,16.31,1189.56
sgx,SMJ,4,64.0,16.0,16.42,1197.58
sgx,SMJ,4,72.0,16.0,16.57,1205.63
sgx,SMJ,4,80.0,16.0,15.39,1230.95
sgx,SMJ,4,88.0,16.0,14.66,1250.76
sgx,SMJ,4,96.0,16.0,14.11,1272.9
sgx,SMJ,4,104.0,16.0,13.29,1301.93
sgx,SMJ,4,112.0,16.0,12.7,1331.11
sgx,SMJ,4,120.0,16.0,12.41,1349.73
sgx,SMJ,4,128.0,16.0,12.31,1367.73
sgx,CHT,4,8.0,100.0,57.71,1131.78
sgx,CHT,4,16.0,100.0,22.44,1148.1
sgx,CHT,4,24.0,100.0,22.64,1164.7
sgx,CHT,4,32.0,100.0,21.21,1180.72
sgx,CHT,4,40.0,100.0,20.28,1197.87
sgx,CHT,4,48.0,100.0,18.3,1242.69
sgx,CHT,4,56.0,100.0,16.34,1299.8
sgx,CHT,4,64.0,100.0,15.61,1335.12
sgx,CHT,4,72.0,100.0,13.84,1405.2
sgx,CHT,4,80.0,100.0,12.82,1455.27
sgx,CHT,4,88.0,100.0,12.11,1509.14
sgx,CHT,4,96.0,100.0,1.55,5019.43
sgx,CHT,4,104.0,100.0,1.09,7180.05
sgx,CHT,4,112.0,100.0,1.12,7228.51
sgx,CHT,4,120.0,100.0,1.15,7271.99
sgx,CHT,4,128.0,100.0,1.2,7313.9
sgx,PHT,4,8.0,100.0,25.08,1127.4
sgx,PHT,4,16.0,100.0,16.78,1139.4
sgx,PHT,4,24.0,100.0,14.95,1163.4
sgx,PHT,4,32.0,100.0,13.84,1163.39
sgx,PHT,4,40.0,100.0,1.53,3754.52
sgx,PHT,4,48.0,100.0,1.42,4154.82
sgx,PHT,4,56.0,100.0,1.46,4214.16
sgx,PHT,4,64.0,100.0,1.41,4525.85
sgx,PHT,4,72.0,100.0,0.14,46615.21
sgx,PHT,4,80.0,100.0,0.14,47680.53
sgx,PHT,4,88.0,100.0,0.14,49970.8
sgx,PHT,4,96.0,100.0,0.14,52999.22
sgx,PHT,4,104.0,100.0,0.14,55775.4
sgx,PHT,4,112.0,100.0,0.14,57848.86
sgx,PHT,4,120.0,100.0,0.14,60074.05
sgx,PHT,4,128.0,100.0,0.14,62491.51
sgx,RHO,4,8.0,100.0,17.16,1262.0
sgx,RHO,4,16.0,100.0,17.89,1287.14
sgx,RHO,4,24.0,100.0,17.91,1316.77
sgx,RHO,4,32.0,100.0,17.89,1341.28
sgx,RHO,4,40.0,100.0,18.35,1359.51
sgx,RHO,4,48.0,100.0,18.14,1377.4
sgx,RHO,4,56.0,100.0,17.88,1395.43
sgx,RHO,4,64.0,100.0,17.75,1413.37
sgx,RHO,4,72.0,100.0,17.26,1431.45
sgx,RHO,4,80.0,100.0,17.13,1449.6
sgx,RHO,4,88.0,100.0,17.08,1467.72
sgx,RHO,4,96.0,100.0,16.95,1487.46
sgx,RHO,4,104.0,100.0,16.79,1505.7
sgx,RHO,4,112.0,100.0,16.63,1524.0
sgx,RHO,4,120.0,100.0,16.66,1541.67
sgx,RHO,4,128.0,100.0,16.53,1557.9
sgx,SMJ,4,8.0,100.0,16.99,1261.95
sgx,SMJ,4,16.0,100.0,15.27,1286.85
sgx,SMJ,4,24.0,100.0,14.21,1316.98
sgx,SMJ,4,32.0,100.0,13.48,1341.27
sgx,SMJ,4,40.0,100.0,13.11,1359.37
sgx,SMJ,4,48.0,100.0,12.79,1377.26
sgx,SMJ,4,56.0,100.0,12.65,1395.18
sgx,SMJ,4,64.0,100.0,12.52,1413.25
sgx,SMJ,4,72.0,100.0,12.24,1431.44
sgx,SMJ,4,80.0,100.0,12.22,1449.42
sgx,SMJ,4,88.0,100.0,12.05,1467.59
sgx,SMJ,4,96.0,100.0,11.86,1487.32
sgx,SMJ,4,104.0,100.0,11.74,1505.62
sgx,SMJ,4,112.0,100.0,11.65,1523.94
sgx,SMJ,4,120.0,100.0,14.12,1541.58
sgx,SMJ,4,128.0,100.0,13.93,1557.83
